token;freq
ɑ̃;1781692
t;4628125
w;396244
a;4600568
n;2666244
ə;1549226
m;1662392
ɛ;7894322
j;1539503
l;3964168
e;1956650
u;595480
ɛ̃;548491
s;6196430
ʀ;5199202
ɔ;2564666
ʃ;311771
o;482587
y;1579304
f;839453
i;3392366
ɡ;574204
ɥ;297206
p;2031492
d;3157997
ɑ;114306
b;755619
ɔ̃;682636
ʒ;628025
z;740453
v;914144
k;2554432
̀;68110
œ;413716
ɲ;91446
œ̃;16031
0;31403
̂;12391
ℂ;29
́;16586
…;3269
—;3530
ø;3389
ä;1875
ÿ;2207
ŋ;2242
–;4174
̄;7413
α;1145
β;364
γ;284
ν;443
ο;801
∧;1
∨;1
⊙;2
ɛ̈;743
æ;802
̈;516
±;45
¼;8
合;15
気;4
道;21
和;18
表;1
裏;1
入;4
身;6
転;1
換;1
立;10
技;6
座;4
半;4
武;25
産;1
器;2
剛;3
柔;3
流;27
姿;1
勢;1
間;3
構;1
え;3
三;23
角;1
一;43
重;8
َ;39
س;234
ع;252
و;302
د;370
ʿ;60
̧;209
̆;611
ı;147
ã;632
;2
⁣;20
―;8
̣;1061
→;581
@;143
₿;1
฿;1
ȝ;159
̮;73
£;24
›;1
‹;1
⋅;37
•;340
\;253
·;123
¯;160
ص;75
ر;429
ة;87
ا;1226
ل;722
ض;30
ك;78
ت;106
ب;396
م;493
ج;131
ز;119
ي;460
ٔ;98
ن;401
غ;20
ّ;36
ى;37
ه;139
ش;109
ق;90
ف;141
خ;52
ٓ;17
½;42
̌;1949
−;381
≡;25
δ;271
̭;4
ł;935
²;114
σ;261
ι;637
ß;130
̓;106
ρ;326
χ;81
η;299
ü;97
ℏ;1
≈;34
π;251
μ;284
ö;70
ψ;21
ሸ;1
ቸ;1
ኘ;1
ዠ;1
ጀ;1
ጨ;1
ኸ;2
ኧ;1
ቨ;1
ቪ;1
ዛ;1
ሰ;6
ሠ;5
ሀ;5
ሐ;9
ኀ;6
አ;8
ዐ;7
ጸ;5
ፀ;5
ʾ;34
ግ;2
ዕ;4
ዝ;1
';68
ካ;2
ብ;6
ሣ;1
ል;5
ስ;11
ራ;2
ኃ;4
ም;3
ሳ;4
ድ;1
ለ;4
ደ;5
ን;9
በ;1
ር;4
ት;3
ጉ;4
ሡ;2
፡;10
እ;5
ቱ;3
ሥ;4
ሃ;2
ሌ;3
ታ;2
ው;2
መ;3
ሩ;1
ዙ;2
ኑ;2
ፉ;1
ይ;7
ሎ;2
ዩ;1
ɳ;2
ɖ;1
ˈ;82
̊;230
⇒;68
ĳ;2
̋;145
私;3
た;29
ち;13
我;13
們;1
λ;374
ς;517
ϐ;3
ω;200
ε;413
ُ;29
ْ;11
ط;77
ِ;8
̇;197
錯;2
t͡sʰʷ;2
兒;1
ɔ˞;1
ɡː;1
iː;6
aː;9
ʁ;36
ɐ;8
ɛː;6
ɹ;2
ɪ;35
ɔː;7
好;2
य;53
म;105
्;195
ा;239
∅;14
⟨;6
⟩;6
↔;10
➜;3
ᄃ;12
ᅩ;85
ᆨ;79
ᄋ;131
ᅵ;135
ᆯ;32
ᅥ;62
þ;32
ト;27
゙;148
イ;15
ツ;7
語;9
ד;38
י;155
ט;10
ש;37
გ;7
ე;40
რ;17
მ;6
ა;50
ნ;27
უ;8
ლ;25
ი;50
κ;281
ă;354
ג;22
ר;71
מ;57
נ;50
ת;18
г;449
е;1723
р;1316
м;601
а;2269
н;1473
с;878
к;1005
и;2710
я;209
ц;89
і;109
ь;290
̨;138
א;71
כ;11
ז;21
θ;177
͂;45
ζ;84
ה;46
ב;51
ꜜ;1
ꜛ;1
◌;6
ᶿ;1
ˣ;1
tː;2
‿;5
̑;1
ɔ̯;2
̩;1
̍;2
‖;2
↗;1
︎;2
↘;1
գ;11
ր;26
ա;50
բ;3
ﺀ;1
̉;150
☼;2
☽;1
♀;9
♂;1
♃;1
☿;2
♄;2
=;12
̸;16
д;594
о;1862
ŏ;7
х;157
ч;718
у;256
п;272
т;617
б;254
л;1145
в;1784
з;152
ю;73
º;53
‚;2
µ;42
‑;21
氣;1
仁;12
i̯;2
▄;59
§;86
ð;129
ব;22
ি;24
ভ;6
া;75
গ;10
জ;11
ে;30
ল;21
嚴;1
志;8
斌;3
洪;3
梅;4
编;1
著;1
『;2
殷;1
墟;1
青;7
銅;3
︰;1
時;4
代;10
的;1
中;27
國;9
文;22
明;22
』;2
上;16
海;18
大;49
学;14
出;7
版;1
社;1
đ;270
ỹ;4
𥮊;1
奇;3
箸;1
快;2
筷;2
子;50
竹;9
⺮;1
ъ;31
y̆;14
φ;113
ф;110
̔;62
ह;68
न;131
密;1
宗;13
達;8
磨;5
る;29
ま;16
五;13
υ;219
ָ;31
ּ;30
ע;39
ַ;17
ל;48
״;1
ך;1
τ;323
ו;82
ם;18
総;2
裁;1
ק;26
ы;112
´;38
ʋ;3
̦;302
স;20
ধ;8
ু;27
ষ;14
ত;28
ৎ;1
ম;41
চ;13
ন;39
্;56
ী;21
ূ;5
ৃ;1
ৈ;2
ৗ;3
ই;5
শ;10
ঁ;2
দ;29
ং;2
ঃ;4
উ;3
খ;2
য;18
ক;20
ঞ;3
র;43
৩;1
এ;1
ণ;3
ও;3
भ;29
ो;33
ट;12
अ;37
त;119
yː;6
蠻;1
書;2
樊;1
綽;1
渤;1
泥;1
太;20
平;21
環;2
宇;10
記;4
樂;1
史;3
‐;5
व;82
र;193
ु;32
ण;19
ग;28
ꝃ;1
ɣ;5
古;6
ס;27
פ;20
⊕;5
ᚺ;1
ᛚ;1
ᛟ;2
ᛞ;1
ᚹ;1
ᛁ;1
ᚷ;1
†;48249
ְ;15
ֵ;6
ִ;17
ׁ;8
医;2
心;8
方;1
疏;2
食;14
素;2
林;20
王;17
灼;1
高;20
似;1
孙;6
神;21
戸;3
ヒ;6
ー;36
フ;36
沢;10
庵;1
ᵉ;6
̛;165
̃;18
邦;5
画;2
朝;9
鮮;2
ᄒ;69
ᅮ;54
ᆫ;137
ᄆ;72
ᄌ;75
ᆼ;64
ᅳ;26
ᆷ;30
訓;2
民;11
正;21
音;6
t͡ɕ;1
ɔ̞;1
sʰ;2
ʌ;4
̹;1
ᄉ;77
ᅡ;93
ᄀ;78
ᅴ;25
ᅪ;36
ᄂ;33
ᅧ;48
ᄅ;40
ᄇ;41
ᆸ;7
ĩ;13
¥;8
®;3
儒;3
家;13
孔;6
夫;14
理;10
漢;4
父;1
母;1
愛;6
之;7
伦;1
常;7
禮;3
徐;2
復;3
觀;1
牟;1
（;9
）;10
周;6
公;8
思;6
致;1
誠;4
孟;2
荀;1
孫;4
人;14
性;1
韩;1
非;1
黄;5
老;3
董;1
仲;5
舒;1
帝;11
莽;1
讖;1
緯;1
郑;2
玄;7
天;58
窮;1
格;2
物;3
庙;1
《;10
詩;1
經;3
》;10
春;8
秋;12
易;1
論;2
學;2
庸;1
ᅢ;43
ᄎ;21
ᅭ;7
ᅲ;13
休;1
戰;2
線;1
ᅦ;19
ᅣ;3
し;31
死;3
零;2
百;12
二;15
十;8
千;6
万;6
ஓ;1
ட;17
ு;43
உ;8
ன;38
்;110
话;7
杭;1
州;5
,;2
温;3
广;2
东;4
台;1
湾;1
潮;3
汕;1
ɔ̆;72
ح;241
象;2
牙;2
岸;3
科;4
特;1
迪;2
瓦;1
ˁ;37
̱;167
ξ;61
¾;4
➝;2
⋔;1
ж;67
⊗;1
ↄ;8
ꟾ;2
ↀ;2
∞;10
⋈;1
ȷ;2
ↁ;1
ↂ;1
旧;1
跡;1
黙;1
殺;2
ℓ;10
÷;6
←;23
‰;15
治;7
│;150
┌;12
─;444
┴;6
┐;6
┬;20
〜;2
ֿ;1
≤;25
щ;17
ℝ;112
║;2
〈;1
〉;1
ℕ;16
皇;50
ʎ;4
ɛ̆;18
ə̆;6
ء;46
ٱ;1
∈;47
ϵ;1
∀;14
ℤ;67
⊂;8
ɤ;3
∑;1
⋃;1
∩;12
∏;3
↦;9
³;14
ɒ;2
̶;12
鏡;2
の;66
女;5
˜;2
誕;1
生;12
日;36
昭;4
お;16
盆;4
敬;2
分;5
体;1
育;1
化;7
勤;2
労;2
感;2
謝;2
kː;1
′;63
り;21
ん;29
こ;17
は;22
供;2
か;27
へ;14
彼;1
魚;1
も;17
買;6
い;31
、;3
「;1
」;1
何;3
れ;15
さ;11
す;16
飲;2
み;18
せ;3
ル;18
外;2
て;16
☀;1
わ;4
田;76
部;10
長;7
っ;12
け;5
差;1
く;12
下;13
ら;7
う;13
飯;5
を;22
作;7
？;2
あ;6
手;7
紙;1
送;2
き;16
ɢ;1
ɠ;1
ʛ;1
意;1
味;2
ℚ;29
¹;5
ઇ;1
ઉ;1
ઈ;1
ઊ;1
ં;10
ફ;1
ઓ;1
હ;2
ા;15
ન;10
મ;15
સ;5
્;2
ત;4
ે;5
આ;3
વ;1
જ;1
ો;4
ભ;1
ર;7
ુ;6
ી;5
છ;4
શ;3
ક;2
ხ;8
ვ;18
ტ;12
ო;15
ს;16
პ;3
ბ;9
კ;9
馬;3
關;2
马;1
关;2
坂;7
雲;3
：;3
i̠;1
広;4
電;2
ђ;10
゛;3
゜;2
ゃ;4
ゅ;4
ょ;7
ぁ;2
ぃ;1
ぅ;1
ぇ;2
ぉ;1
ね;2
と;20
先;3
西;16
本;41
東;6
э;37
प;56
ौ;12
ष;15
े;72
स;127
ि;73
ॐ;1
क;77
ㅂ;5
བ;7
ᇁ;3
པ;2
ㄹ;2
ལ;2
ㅇ;10
ㄱ;1
ㄷ;1
ㅈ;1
kʰ;5
tʰ;3
pʰ;3
な;14
花;9
火;4
ひ;14
艸;1
₂;2
„;1
ħ;6
ח;20
ˌ;2
ɾ;17
ꜣ;4
𐭦;2
𐭭;2
𐭣;2
𐭩;2
𐭪;2
八;6
光;19
術;10
ǝ;16
ə̃;3
͐;4
̠;1
₹;1
崎;7
夢;4
想;1
居;11
無;8
雙;2
直;5
傳;1
英;13
信;8
宮;16
水;7
鷗;1
剣;11
法;5
伯;1
耆;1
円;1
据;1
斬;4
貫;1
鹿;2
島;15
新;17
當;1
真;9
伝;1
香;13
取;1
柳;3
陰;1
池;10
坊;2
草;6
月;12
小;39
原;20
華;2
照;2
棚;3
御;3
兜;1
町;4
経;2
団;1
連;2
リ;12
タ;9
在;2
米;4
軍;6
吴;3
森;8
铁;1
汉;1
情;1
跆;1
拳;1
群;2
会;1
少;4
门;1
发;1
钱;3
寒;1
煞;1
星;11
与;4
妹;1
头;2
豪;1
侠;1
怪;1
彩;2
亚;1
珍;2
摩;1
登;2
师;2
滑;1
稽;1
时;2
笑;1
匠;2
两;1
只;1
虎;1
雄;23
无;1
泪;1
色;4
喋;2
血;4
双;1
义;2
胆;1
街;1
纵;1
横;4
四;3
辣;1
探;1
赤;5
壁;3
轮;1
节;4
偶;1
然;1
哈;1
罗;2
夜;2
归;1
夕;2
陽;4
歌;2
‧;80
名;5
仏;6
国;9
巴;5
里;9
山;41
禅;1
寺;6
ス;14
ホ;2
ン;17
マ;8
カ;12
椎;1
茸;1
シ;25
ケ;1
＝;1
ウ;29
ィ;15
ク;16
・;15
ユ;3
コ;8
ミ;2
ネ;2
ァ;7
ʊ;5
ワ;3
⁑;1
⁂;1
キ;6
ョ;3
ニ;4
ャ;8
ヤ;2
チ;6
ッ;13
ヘ;6
事;1
典;2
ェ;14
ォ;5
に;22
濁;1
点;1
テ;9
ュ;5
エ;5
゚;12
ラ;12
郷;5
隆;11
盛;4
郎;32
都;5
肉;1
弾;1
俺;1
君;1
