token;freq
a;9139903
n;5470524
d;3851219
o;6825131
r;143846
f;735448
i;5103301
s;6984357
l;4020619
m;2139273
e;9757983
t;3622499
p;1906719
ɾ;4695857
u;1772406
k;2954362
b;1720678
ɲ;136884
j;1154697
t͡ʃ;142603
ɡ;730640
0;25096
x;562729
²;1644
w;664008
—;9790
̀;3148
ʝ;249443
α;1866
̓;447
ν;922
δ;403
ο;1483
σ;583
ι;1300
t͡ɬ;12372
ï;305
³;368
ʃ;18213
̧;1460
ã;705
₂;9
ɾ̥;3
n̥;3
º;3368
–;3495
অ;1
্;3
য;3
া;8
ন;1
ড;1
ে;4
র;2
ভ;1
ূ;1
গ;1
ল;4
木;4
版;1
画;4
̄;3759
θ;284
↑;24
@;112
\;202
ρ;785
χ;172
τ;768
ε;1043
κ;557
ω;378
ς;796
…;399
μ;615
ª;963
ø;339
t͡s;4343
ö;2658
̂;1654
η;618
ë;449
ä;1060
ü;1831
æ;276
−;601
õ;93
¹;13
π;695
𐀀;1
𐀯;1
𐀹;1
𐀊;1
𒀸;1
𒋗;1
𒉿;1
𒀀;1
𒍮;1
̣;409
̇;200
₁;6
𐌾;1
𐌴;1
𐍂;1
ǝ;2
ŭ;42
þ;99
ð;242
年;3
秂;1
ъ;20
̌;2108
ا;364
ف;34
غ;12
ن;106
س;75
ت;101
´;167
λ;582
γ;379
≪;10
≫;11
→;517
ψ;30
∑;6
≡;126
च;4
त;7
ु;9
र;22
ङ;1
्;29
ग;5
′;170
±;130
∓;2
∞;9
β;533
¢;4
̔;137
ɣ;27
ĕ;35
φ;268
ξ;60
ϛ;2
ŋ;34
ʦ;9
ζ;67
ʣ;2
aː;23
ɛː;1
ɔː;3
ͅ;20
µ;101
ل;209
ج;53
ر;148
·;426
͂;181
̆;172
ı;156
ϕ;9
̈;101
⌊;3
⌈;2
ʾ;24
̊;264
ȣ;1
ħ;16
£;32
←;11
υ;528
¥;3
ă;198
ĭ;67
ŏ;55
を;5
ヒ;5
゚;29
サ;2
゙;103
食;2
へ;6
る;17
ł;536
̨;176
а;317
я;61
у;66
ю;5
ﷲ;1
sː;18
г;80
о;159
л;119
б;57
и;258
с;143
н;223
ʿ;33
ض;12
ي;148
ع;51
ة;69
―;2618
̦;101
ß;140
ə;151
武;5
術;4
藝;1
芸;3
國;7
禪;1
خ;24
م;127
ء;9
aˀ;5
̉;38
⇒;2
ب;133
ٕ;16
ح;57
•;305
;1
‰;41
¾;3
ĩ;29
ϐ;2
¨;31
盆;1
栽;1
đ;120
̛;40
و;143
=;32
̸;32
›;1
ɍ;1
​;144
ת;43
ְ;30
ּ;17
ה;40
ִ;24
ל;32
י;74
ם;14
‎;9
א;32
ו;59
ב;29
ד;21
נ;22
三;12
垣;1
二;5
十;6
八;3
宿;1
न;13
क;8
ष;1
د;73
ط;18
†;350
ʒ;36
d͡ʒ;5
ᵹ;2
ȝ;2
ц;18
ℂ;8
ɕ;8
ʗ;1
₵;2
₡;1
₢;1
̃;16
ƈ;2
™;8
◻;1
ϑ;3
ソ;2
テ;10
ツ;8
茅;1
栗;2
􀃆;1
≈;26
″;78
☄;1
';73
級;1
）;4
段;1
