token;freq
ɑ̃;480547
twan;1772
mɛjlɛ;25
ne;107749
lə;452875
a;421835
mu;11334
lɛ̃;10918
al;53766
ljɛʀ;14609
ɛ;436706
mɔʀ;15611
ʃa;16793
to;106151
mɛjlɑ̃;15
ʃɛʀ;7663
ɛs;171441
œ̃;151259
fi;91870
lo;86990
lɔɡ;5940
fʀɑ̃;69192
sɛs;42855
pʀɛ̃;16724
si;265711
pal;9231
ɡɥist;580
dəs;274402
pʀə;38514
mjə̀ʀ;17289
de;193824
sɑ̃;60269
njəs;2437
dy;249956
bjo;7256
ɡʀa;24439
fɑ̃sə;2703
fɔʀ;35475
ma;143052
sjɔ̃;372445
pol;6286
ʒyl;1685
d;236550
ɔʀi;12026
ʒin;8742
buʀ;4675
bɔ̃;6523
nɛz;4058
fil;7652
no;88613
tɛʀ;115761
də;958316
il;110645
nai;1439
vɑ̃bʀə;6132
pas;43451
sɔ̃;150772
pɥis;32269
fɛ;28550
səs;58438
etyd;5998
sə;174547
kɔ̃;120876
dɛʀ;24721
o;255998
lj;9547
se;129454
ety;3782
djɑ̃t;759
paʀ;222077
tiʀ;14379
la;587098
fa;30130
kyl;11518
te;219676
lɛtʀ;3978
pa;97377
ʀis;20829
ù;13036
sɥi;10499
tɑ̃;57500
mɑ̃t;184605
ləs;276716
kuʀ;16547
lwis;6986
vɛ;5226
as;32224
sist;2355
eɡa;15418
sœ;4375
mi;118080
ʃɛl;4935
bʀeal;23
kɔl;16237
lə̀ʒ;1619
fʀɑ̃sə;20923
fɛʀ;23467
di;111835
nɑ̃d;1157
so;67241
syʀ;89205
l;347760
ekɔl;5559
pʀa;6633
tik;80733
ot;4247
ʒɔʀ;1364
aɡʀe;344
ɡa;49404
ɡʀɑ̃;4815
mɛʀ;23569
mjɛʀ;20637
ʒuʀ;28036
aʀ;69216
me;81616
ni;91698
ɛtʃ;10
mja;514
zɛ̃;1015
pʀo;102542
ʒɛ;15412
pʀɑ̃dʀə;3083
njɛ̃;4965
mo;78726
dɛʀn;3265
djɛʀ;3094
sjɛ̃;38111
nys;7526
kʀi;16055
ʀə;142883
tuʀ;18443
sɥit;12097
ʀe;148171
k;64846
plə̀t;864
yn;136916
kɔ̃fe;2726
ʀɑ̃sə;8774
lɑ̃ɡs;4825
pɛʀ;53956
san;516
su;45338
sa;100322
tə̀s;3006
puʀ;96820
dɔk;2578
ʀa;118300
ʃɛʀʃ;4856
plwa;5303
ʒe;54794
tif;18249
ak;61881
ky;43035
vjœ;1142
slav;1099
kaʀ;29581
ʀjə̀ʀ;3948
syk;7220
sə̀d;4268
ɡst;1202
ɔʀjɛ̃;5276
tal;29885
pʀɑ̃d;6841
kɔ̃sakʀ;379
is;28482
twaʀ;24777
stʀyk;4817
tyʀ;43258
ɛ̃;206207
do;37289
ø;24086
ʀo;71272
peɑn;4763
abɑ̃;1974
dɔn;3593
alɔʀ;13935
səi;6215
ɲə;3901
sɔʀ;10463
mɛs;30429
ɡɥis;1669
kʀe;8801
sje;13394
ely;5305
aka;3938
bɛl;10764
pʀe;70968
sid;4080
ti;156433
ty;40287
tut;8686
kɛl;12077
emil;949
bɑ̃;8417
və;50684
nist;9640
maʀ;35676
sɛl;21070
ko;76946
ʒəɔʀʒ;4995
zil;153
li;178327
ljas;52
ɔ̃;51452
byʀ;2586
ʒɛʀ;19643
dʀe;3189
nɛ;10238
ljɛ̃;19145
va;41903
ʒəo;494
ly;26903
