token;freq
æn;113669
ɑɹ;83257
t͡ʃɪzəm;258
ɪz;132328
ə;263503
pow;26961
lɪt;10414
aj;222230
kæl;53376
faj;32719
lows;3940
ow;61828
ænd;330949
muv;4294
mɛnt;46150
ðæt;73025
skɛp;178
ti;66445
ʌv;429774
ɔl;16845
d͡ʒʌs;1670
kɑ;38947
ʃənz;44453
fɔɹ;124903
θɔɹ;5090
taj;61718
siks;165
tə;289332
æbowl;511
ɪʃ;9133
ðə;791317
ɪn;460386
sti;7346
tu;46235
ɪt;58668
klejmz;954
mejn;11509
tejn;10809
ʌn;35746
nɛk;3290
ɛs;128620
sɛɹi;1587
kow;18805
ɹ̩;197927
sən;31288
haj;23517
t͡ʃaj;1549
tɪp;2987
laj;140892
klʌd;12936
ɪŋ;237066
nɑ;45430
ʃən;180638
stejts;10601
kæp;7709
tæl;19055
ɪzəm;5368
æd;22591
vow;3677
kejts;770
ɹej;150840
plejs;5937
stejt;10421
wɪð;85785
lɛs;9546
sow;59482
t͡ʃi;22283
ɛtajz;919
vɔl;3514
tɛɹi;10627
fɹi;4785
æz;122335
hɪz;57831
tɔɹ;21908
lɛft;4237
wɪŋ;944
ðɪs;31581
ɹɛd;6515
plejst;3194
ɑn;94250
fɑɹ;3191
θɛst;58
spɛk;5157
tɹʌm;715
jusu;4091
æl;179414
di;169036
skɹajbd;3007
lɪb;3087
tɑɹ;5053
t͡ʃəl;18743
ɪst;7524
hu;23789
mænz;2161
hæv;30643
lɪvd;1318
awt;20709
mæl;7409
t͡ʃajz;541
lɔŋ;6241
bi;117141
tæb;6513
lɪʃ;12214
ɹɛlmz;95
ɔɹ;71502
ɛm;17227
pajɹz;251
ɹajz;11383
ɡæn;9539
ajzd;3766
kaj;8803
bɑd;2050
iz;10072
sɛp;10138
sɪzəm;1362
wɔɹd;4204
ɹowz;1579
ðow;8912
tɹejsəz;199
t͡ʃɪst;189
ajdiəz;928
fawnd;9168
θɹu;10704
ɹaj;45891
mɑd;12473
ɹ̩n;28121
ɪmɹ̩d͡ʒd;602
fɹʌm;57384
ɛn;59266
lajt;4836
dɹ̩;45732
lɑt;20741
tɹ̩;107062
hæf;3126
tiejt͡ʃ;15265
fɹ̩st;22753
dɛkejdz;822
sɛn;37732
flawɹ̩;299
ɪʃt;2169
mowst;19860
pɑɹts;2580
wɹ̩ld;14127
hæd;24379
sɪɡ;5733
nɪf;3555
kænt;3462
ɹowl;3718
wɹ̩k;12328
ɹ̩z;28791
stɹʌɡ;686
ɡlz;1385
ɪmən;176
pɑ;22467
vɑɹ;4674
aws;13741
skulz;1790
θɔt;1922
fɔɹmd;4632
pi;22014
ɹi;40906
əd;5084
t͡ʃɪsts;143
tæk;7460
pɑɹt;12254
sɛv;9330
ɹɛv;2935
lu;11015
now;24471
tæbli;810
pɛɹɪs;1350
kɑm;76541
mjun;407
ɹʌs;5126
sjɑn;4111
sɪv;10528
ɪl;6665
wɔɹ;12650
spæn;2640
huz;1875
ɛnd;8996
mɑɹkt;1113
klæs;7122
si;62218
ɛɹə;2513
læst;4412
stɹit;6468
hæz;25359
bɪn;19324
ɹisɹ̩;106
d͡ʒɛnt;853
wʌns;2249
mɔɹ;21908
ɡɹow;1830
pɑp;11707
ju;62884
lɑɹ;21345
flu;5685
ɛns;11181
ɡlɑb;1730
sɑ;6627
mɛnts;13994
ploj;2076
vɹ̩s;2909
æp;22999
pɹowt͡ʃ;1465
wɪt͡ʃ;38269
mej;14468
d͡ʒɛnɹ̩əl;18814
vɪd;7003
ɛd;154815
ɛɹi;9685
ɛvow;1082
stɹejt;1819
ɡiz;1088
ðɛɹ;39932
owvɹ̩;16237
læp;430
twin;12255
mɛθ;1286
ədz;1718
tɹaj;22095
sɪm;11115
lejt;5443
wʌt;4714
ɛti;4819
majt;1625
lajk;9024
bʌt;23962
tɪks;3863
vi;29046
lɛnt;2200
tɹ̩n;5104
ejm;888
θɹow;1611
mɛni;14564
fæsəts;29
mæn;40549
lizə;638
ɛnst;1920
baj;100222
kɹi;1916
tɪk;14983
pɹæks;26
ɛt;9244
waj;4321
mɔl;2246
d͡ʒaj;12505
mi;29686
nɑl;2574
dɛf;2040
ni;31664
mow;14795
lɔɡ;6186
ɔɹi;3415
d͡ʒɪn;5132
sint;4413
ɡɹik;3493
ænɹkhiə;1
min;3737
ɹulɹ̩;514
powzd;4645
pɹi;28794
fɪks;1077
wɹ̩d;2697
ɑɹkhows;1
lɛd;11035
sʌf;2752
nowts;2218
ajd;2146
kɹ̩;8748
ɹɛnt;3656
fejvɹ̩z;33
pɛɹz;1801
ɛŋ;11668
t͡ʃɪzm;2
ɪɹ;12254
ʌs;13019
ejd͡ʒəz;2200
fɑ;13370
sajzd;747
sɛns;2221
dɪs;32776
fæk;5752
fɹɛnt͡ʃ;6023
lɑ;32987
bɛld;310
ɑp;22322
nɛnts;1229
fju;3282
sʌt͡ʃ;16584
ejsi;45051
kjuzd;1049
ʃɛɹd;799
vjuz;1335
wɪljəm;2435
ɡɑd;3814
wɪn;8290
wɪl;6975
hɛlm;282
wajtəlɪŋ;1
wʊd;14813
kɑn;100002
tɹɪb;3290
jut;655
dɑk;4451
tɹajnz;132
nɛkst;2514
dɪd;5848
nɑt;28367
jus;9771
skɹəb;458
ðɛm;9361
sɛlvz;1549
lifs;519
fəlowsow;1286
fɹ̩;24682
kɔl;1797
hɪm;10295
sɛlf;6258
wɑz;94784
piɛɹ;437
d͡ʒowsəf;1095
pɹawd;123
hɑn;5134
mɑɹk;3137
bɹ̩θ;1941
mɪd;5837
sɪns;8025
nɪŋ;5577
fɹæns;2659
tɛn;21643
juzd;15292
sɪn;10345
ɑnɪm;107
ɪts;24447
stɪl;4223
mown;15534
sajd;7526
junət;12205
sʌm;24232
mɑɹ;15110
kət;3745
pɑɹ;22318
tɹ̩md;296
wajl;10735
tɹ̩m;3912
lɑɹd͡ʒ;6785
ownaj;245
maws;3192
sɛnt;13045
lʌt;136
wajdɹ̩;366
ədɑp;323
pɛɹət;35
ɡɹups;3007
bowθ;8869
nu;27848
mɑɹks;873
ɪsts;3014
du;23812
t͡ʃiejt;321
væn;3761
ɡɑɹd;3414
ɛks;61864
tɹim;1238
kʊl;8783
ælz;6119
sɹ̩nd;454
tajz;14491
əvojd;1101
nɛɡ;1185
tɪv;28728
tɑ;29655
sajz;2114
bɹɔd;3221
skɹajb;829
tɹæst;997
fɔɹmz;3428
ɛnt;8150
əbʌv;2141
ʃəl;2594
ɑɹz;1523
kɹ;8358
dɛn;8825
tajəlz;195
kɹɪt;3914
t͡ʃajs;807
æt;77136
tɛmpts;782
t͡ʃowtəmiz;4
ɛnsɪz;7635
d͡ʒɛkt;3837
t͡ʃow;1934
mɪs;10171
stænd;3011
pɹɪn;2482
plz;3845
tɹæl;5437
dɪfɪn;236
izi;430
tæsk;509
kʌs;5444
əmʌŋ;4817
mæt;10139
ɹɛnts;235
pɹ̩;45189
t͡ʃiv;1530
slajt;898
dɪf;9852
mɑ;38377
d͡ʒɔɹ;7321
ɛl;22147
i;30342
