token;freq
an;67090
do;426030
ra;34230
ofi;7066
sial;27218
men;163551
te;542006
pɾin;20556
si;378431
pa;271210
de;1451639
es;451539
un;136552
mi;180623
kɾo;10490
ta;551543
so;223275
be;110309
ɾano;2218
sin;33650
li;223877
to;425194
ɾal;29444
ubi;3575
ka;425074
en;587595
el;467121
su;152916
ɾoes;2109
eu;15239
ɾo;161644
tɾe;56262
ɲa;31869
i;424860
fɾan;28124
sia;126724
la;799596
pe;154664
nin;5801
ibe;1598
ɾi;115166
se;511285
kons;21703
ti;355040
tu;127425
ie;9215
in;177405
pen;18008
djen;12487
ɾe;240884
t͡ʃo;19391
mo;252556
kɾa;8125
ko;419316
ku;74242
ia;28324
foɾ;54534
ma;333993
ɡo;103977
bjeɾno;11463
paɾ;60505
ɾjo;71656
ri;16426
oɾ;32316
ɡa;103158
ni;172058
sa;221268
sje;5507
ro;26592
kjas;556
kon;260631
una;115679
po;187969
bla;17731
sion;222492
tal;31851
a;317024
bi;155105
tan;87335
tes;84043
fe;71128
bɾe;80752
pi;50252
bje;16986
xa;43252
sus;41546
eks;57329
ten;44836
sjon;38560
ɾjal;6459
mas;104550
ɡɾan;26685
twa;15467
los;252473
neos;1355
tje;34670
ne;140772
al;148697
tud;7225
me;200912
dja;41633
poɾ;181805
suɾ;12634
pɾo;127297
bin;13830
na;310848
le;94774
da;273235
noɾ;19948
tos;97574
aɾjè;2
xe;108297
oɾjen;4623
les;112042
ok;12517
nja;25804
peɾ;54816
kul;19813
sis;47464
ɾja;83005
ios;3233
fes;5257
son;47010
p;5753
ɾin;3887
pes;5129
obis;1880
uɾ;4432
xel;2365
pɾe;94803
den;91901
del;207740
idjo;3131
lan;23210
aun;14518
ke;309868
flwen;3855
dos;138524
dean;564
uso;6228
mun;21531
ɲol;19622
ɡes;3762
ses;58567
no;179616
exeɾsi;4104
kweɾ;6631
kɾea;7963
emeɾ;815
xen;35332
sias;23276
o;81839
sas;27638
tɾes;10967
ɾa;374731
exem;10263
plo;15619
las;180559
inun;634
sio;150019
nes;127898
oku;7534
rje;426
ɾon;55996
kos;58836
tum;2560
dik;4967
ba;249794
bo;106581
fa;41172
lja;18906
dad;97878
pɾak;4839
fwe;49419
epo;5575
pais;12837
xes;9835
tjo;12880
das;61303
tas;57658
tɾo;65268
ɡɾa;53366
aiu;3573
ɲo;28345
ɡwn;23939
tɾa;85220
tɾi;30165
amis;659
tad;5990
ope;8201
du;55031
ɾan;37946
mu;72178
tjem;16881
ais;1893
ɡio;3332
ble;36753
pɾos;1296
des;124898
ɡe;21483
djal;7110
bes;29745
ɾis;22732
di;178174
ɾai;2501
fis;2277
kal;16519
saljo;399
mja;11802
eti;2181
lo;185754
xia;22702
asi;16930
ʝ;36851
pwes;27891
asep;2976
teɾ;66832
mino;5285
oɾi;12833
ki;33056
bas;22542
pwe;31553
blo;7228
ἀνδοσινοι;1
bjo;30321
ɾes;105650
seɾ;66268
ins;14876
kɾip;3428
kas;53286
kwen;27141
duɾ;251
ɾ;3090
jen;6
eksis;12815
nom;13528
naɾ;14319
euske;222
xi;54211
ɡan;8395
tam;32789
bjen;44398
otɾas;9542
bles;10117
aɡwa;5384
ame;8399
djes;2089
fwen;4295
kom;55063
maɾ;42392
e;40985
itu;133
kam;22242
pu;49235
eri;15
bɾa;23131
rjal;9
io;33272
sjen;6454
sieɾ;5838
aɾa;5693
xeɾ;8654
otɾos;14615
siɡ;8973
fi;118070
bos;24531
obɾa;6763
bul;2825
sel;2692
bɾas;3400
doɾ;39067
pweɾ;7037
alu;1219
nai;837
laɾ;32471
ien;10099
djo;34305
kaɾ;47361
maɡ;5341
fun;25001
ʝe;38092
tɾans;13020
blja;579
lu;48949
ɡaɾ;19099
sisa;1
sim;7398
aɾ;63829
biɾ;12643
tus;2290
uni;40687
tjoɾ;25
kwa;17474
kwaɾ;2695
pɾi;44614
meɾ;24815
tel;2152
ɾjoɾ;15928
is;20864
kjeɾ;5410
bis;12534
ob;18041
ɡw;42737
oɾo;3159
seo;5259
oxos;559
foiks;56
beaɾ;132
ban;35280
adop;2230
loɾ;8615
beɾ;73798
asul;1002
ama;3071
ʝo;25923
xo;54545
ʝa;47503
sen;80407
mwes;3446
ɾen;34529
siaɾ;2182
ɾas;31707
t͡ʃad;226
mol;1016
bja;35215
ɾu;20352
ʝmno;852
mani;70
kɾi;38135
xoan;1134
ben;26372
t͡ʃ;13721
ɾik;827
fani;6
bons;21
sep;17934
ʝs;21857
pɾeʝs;640
ɲos;6545
ɡɾu;10836
pos;23042
w;19450
nos;63124
asen;1825
pɾ;1315
oksi;4339
bal;11782
pun;8789
pal;12631
ssa;217
dino;613
don;19227
xu;31975
njo;21036
kontɾo;738
saɾ;23036
bɾi;21427
pjen;1124
ali;5359
feɾ;11259
ras;3811
sie;16203
blos;2159
bɾon;1118
aɾin;8
sal;11507
im;33159
ɡɾje;5201
ani;7520
aɲo;13326
ad;10055
xun;12503
nen;19831
sien;28064
kwal;12928
klu;14734
ɾeino;4859
kum;3346
pan;8536
nal;49251
edad;3919
deɾ;21534
aɲos;18955
sul;10755
kis;5225
ese;6476
tɾas;22217
fɾon;3076
poi;297
tjeɾs;63
fɾe;6924
nan;19034
nwan;295
soɾ;7840
lwis;4641
pja;8178
lin;8814
xio;14973
ʝes;2917
san;46574
ak;57681
twal;11006
dɾal;1037
re;16980
nas;46524
mon;15393
neɾ;14598
eɾ;9834
ɡol;3970
bjenes;807
t͡ʃos;11550
tek;15900
taɾ;36478
boet;6
man;41544
epis;839
kontɾa;11911
ii;6222
feu;350
dal;2583
kje;5228
iɾjan;26
au;29901
ɡlos;2067
t͡ʃa;24044
lus;4478
aka;6372
baɾ;25853
puɡ;161
djan;10042
flik;1790
iii;2225
dɾo;12440
fiɾ;4700
ɲoɾ;1041
obli;2477
mos;26545
asun;1352
pɾeo;765
ɡon;5024
eɾa;12922
tɾuk;12047
iɡle;5070
sja;11483
klaɾ;152
otoɾ;1463
as;32739
pek;9155
bɾaɾ;975
am;16153
unos;5077
ɾjos;21926
os;7619
tin;16020
ane;975
ksjo;798
k;9471
bol;8275
kɾeo;1515
fen;3525
nwe;20620
bɾet;27
ɾein;573
